Region/Country,Jan_20,Feb_20,Mar_20,Apr_20,May_20,Jun_20,Jul_20,Aug_20,Sep_20,Oct_20,Nov_20,Dec_20,Jan_21,Feb_21,Mar_21,Apr_21,May_21,Jun_21,Jul_21,Aug_21,Sep_21,Oct_21,Nov_21,Dec_21,Jan_22,Feb_22,Mar_22,Apr_22,May_22,Jun_22,Jul_22,Aug_22,Sep_22,Oct_22,Nov_22,Dec_22,Jan_23,Feb_23,Mar_23,Apr_23,May_23,Jun_23,Jul_23,Aug_23,Sep_23,Oct_23,Nov_23,Dec_23,Jan_24,Feb_24,Mar_24,Apr_24,May_24,Jun_24,Jul_24,Aug_24,Sep_24,Oct_24,Nov_24,Dec_24,Jan_25,Feb_25,Mar_25,Apr_25,May_25,Jun_25,Jul_25,Aug_25,Sep_25
     Norway,1288.5400000000002,1046.91,944.68,2441.0399999999995,1132.34,1147.85,1263.67,1367.71,1389.25,1296.85,1434.18,1833.4,1583.8611050703837,1464.6421210760918,1582.1160364551524,1738.518058772245,1713.7611900196414,1956.3956364124358,2026.8395900943865,1803.543075353191,1353.81,840.22,924.84,1621.2208932547435,1687.4192223453074,1787.0062533638159,1897.6367761339736,1870.586930951758,1798.4941574488546,1923.77,2024.949651252584,1311.346268180757,1117.8690475202034,1336.5529779236215,1374.9152979559262,1284.1034912913435,1726.3574790196544,1114.8457113337001,1160.0592731586876,839.9378024199182,1173.979839609445,2017.0160089754477,1966.7714532213752,1456.30442687119,1404.8943569945286,1296.8570050592305,1307.0204059290986,1650.6633698339538,1596.378854987296,1663.880737893744,1702.0462592708361,1533.5462293997707,1518.72814569923,1712.192377470039,1737.2580801204242,1703.3474854117383,1642.1772484859164,1698.1076385158453,1716.8253870627104,1923.9814812464651,1824.3324302563872,1707.7800131611284,1986.9586464232718,1852.1530180159084,1988.182226746931,2088.4369080111114,2123.486239637196,2053.1616087370926,2110.2789312142877
     Belgium,751.0200000000001,606.74,919.1349000000001,1016.8500000000001,390.18000000000006,485.1700000000001,620.05,815.18,999.6400000000001,1479.99,836.97,1539.1899999999998,824.4161488436549,743.4854755507624,834.62631636703,1926.8364992296213,1970.8117941994644,960.744781066383,1698.5388311318084,1800.5120715536357,788.1442218945646,771.9516630417531,850.9889452251513,1137.3737800514236,1007.0844477668131,1299.5286888561495,3363.09672297052,1728.9537088037973,1755.0380588532255,1139.347166849254,673.4602650501337,759.4951110926039,620.745439875263,994.7841229882816,1430.4594006991204,1201.29617771731,1033.0540568462995,957.6617983192855,1077.4211609302163,651.0452453394233,715.6234265653334,662.0181449324393,998.8255044034173,883.3911365238441,780.8798872110907,670.5462931375017,1091.9015079537205,1390.7950332458397,1287.4775953753028,1093.0712157792123,1150.8718943034435,1855.4560120632477,2160.4481553434516,1912.5516770163242,2176.922272978425,1901.1415689058545,3155.8734713390236,1833.866572808653,2057.0982709577183,2208.582777226623,2465.38235766856,2258.276247742836,3044.8071509880037,1297.5727601042088,2658.323547946699,3004.5397662646847,2869.001232632035,2772.867792336905,1140.8770447554725
     Austria,668.8000000000001,567.77,484.43,504.23,625.87,547.2999999999998,699.57,612.6899999999999,683.1999999999999,329.94999999999993,1176.86,1061.05,804.1945962957168,733.44,1505.2972306359081,600.4336893755274,648.8180532474872,443.46298442925837,638.7922655447188,489.5515359477916,415.6086156530377,431.49041987179095,395.39836871506816,714.5938727519483,772.1263765203232,903.5646746117719,773.7251133240995,911.7160847440223,893.8092806558568,842.6151255147877,452.68691826085666,420.6675282028263,715.5972468115326,838.027246977628,717.5887142709475,1141.4953918997433,984.8750242917923,993.4025502555656,978.7736827364905,857.2308749161177,715.4492670686176,768.336151135737,862.4650111288461,688.540255310335,863.8296823957304,700.4485974778876,733.0421203716971,752.3312815765636,1031.1915328646767,972.3940083580276,1016.1513687083549,768.6335505565091,980.9629157214301,1028.5444726513126,1087.5439428408279,1096.2640950507075,938.8159727788428,2154.1144380566293,1027.0462813061647,1032.249654053418,1253.7845409037163,934.245789750787,1299.236092052721,1111.4724475837663,1141.7988541145612,1427.383827546914,1322.6205182289577,1486.9404614963016,1489.5701209277163
     Saudia Arabia,9066.130000000001,6972.920000000001,8033.128,7481.209999999999,12049.350000000002,11599.27,11627.349999999999,10432.039999999999,11054.53,10898.05,10685.73,13061.519999999999,11145.8290343421,9678.97037341712,11666.4710314862,12097.6354589838,15062.774974624801,15170.57506650148,16607.042080456824,16563.1390577613,16611.84,18419.38,19205.1,22777.352542062163,19894.44337670097,19217.543420594047,25638.102264779758,23950.908973909463,26435.709135097342,24438.494761272246,22601.499065598786,26614.935407870795,27115.067576185265,28062.438408853668,26664.627278316788,31626.944943898026,30391.661407909545,24356.24049491662,33937.54357545504,29243.42045451805,35043.86086037091,30960.58494193604,29745.02237208759,32273.096015410785,26878.383665714824,33097.909107549676,31905.17110593936,31963.59809532308,32034.558957615474,30727.060807108242,38595.4038978654,36223.25529273156,35468.087649133675,29178.15167261789,37388.979789520876,32727.64389698315,30011.2554317655,34638.26014625399,30594.966704653525,35537.25550492987,32937.0044623895,28507.972430778478,37224.73025190343,29941.38818916638,33052.07100742412,28066.01103887649,28460.986609666907,16298.53757707175,16845.482265043735
     Qatar,4585.6,3946.3599999999997,5462.67929,7581.46,9734.23,9737.69,9934.600000000002,7526.04,7306.05,6786.329999999999,6349.870000000001,5967.66,5706.912515059925,6094.4090085765965,5530.89739500224,5904.360672569568,6292.384373727188,5333.040330147482,5790.595870723961,7041.9542293316335,6801.89,6969.56,7214.49,6487.56375721099,6006.334956724667,7085.446246058692,7481.496848330722,8074.880818644793,7786.621096354473,7454.807114470831,7854.742148889803,8083.315224954754,6499.368300359261,5455.836294352194,8100.838777685559,7079.870724343601,5388.926009091155,3989.7345337293764,4806.261522435767,4451.514011363121,4160.3177424729765,4626.52462967598,4437.142214810282,3886.319949894615,3100.163711819468,3150.3951514542637,3041.129926664053,3049.443398346184,3819.620597993564,5643.305375408171,6734.538784061221,6347.625359641077,6012.976281344876,7541.148553599333,6626.681156797283,4982.054091914393,5041.033724442118,6238.528980511142,4415.833190121098,5533.2665371686135,5292.4815397087505,6973.861889853683,7135.631359404405,6873.05050512728,6640.004897151259,6580.026790378962,6513.702534977952,5312.896009124026,4993.543753691557
     United Arab Emirates,5870.36,7628.900000000001,6660.606000000001,5480.88,3981.04,7297.67,6066.989999999999,6071.240000000001,7449.220000000001,3728.14,6471.01,6201.2699999999995,3375.780174513313,4534.11368077719,4086.86694671359,3850.3346850665225,4051.2842815837853,3756.639103307068,4819.495697581534,4151.68565302526,3780.08,7153.9,6061.81,7683.854848355204,6476.56816463954,4571.86695430445,6094.009315836158,6037.49712377084,5404.251244540387,5346.65548432929,6262.97630260251,3261.238097725284,5134.405972241599,4106.711291643364,4717.858375654372,4252.9418722924975,3975.159511886562,5369.858408022661,6816.652822792519,6170.338325540986,8029.365244932242,3926.4152790134303,5357.403641359657,4128.249050143525,3580.047241689427,6349.744870841273,5093.14416252572,6819.332034906623,9332.319291210228,10011.549488418643,9163.544471713483,7517.238838834587,12119.756363970146,14788.354986984363,11893.152755816809,13790.501768298227,12850.541595459366,11972.37867870412,13811.184254336811,10306.029110839296,14723.618736069438,13024.610322672483,9452.761088513294,10047.129435732213,10865.245852252145,10875.704413813546,7058.2725820771875,10268.161676283009,10669.463210151416
     Bahrain,742.04,907.1200000000001,1192.247,800.65,1154.5899999999997,1106.82,1186.52,1262.8600000000001,969.71,486.41999999999996,865.24,753.8699999999999,616.910093475251,1071.488591639539,662.5146011382953,1003.3556374374415,954.6532472987097,905.9689061811055,1212.1477187086039,1047.2,927.9370679716556,916.59,2116.27,986.7795921605325,629.521495163249,831.8960985266375,1406.9913103959786,761.0042599822993,666.9841886726125,707.8236003446517,575.0863725103463,588.0345894008,494.6279001498313,459.9769093185648,593.4898062916137,165.54696069000738,136.91822618431902,157.23936138635426,250.17789648876405,128.81049920085653,233.2050853850929,108.11214116261044,113.85169518114276,171.63435655867337,130.4262422991411,130.55680511472707,169.7570817910268,307.5151309384906,486.0615314028373,897.2333271199016,572.8311110996522,364.9901596728141,184.08574884102603,904.1649980686892,294.9231282412271,378.48739585839445,265.8540535918291,174.45244305150229,299.1263484820522,148.620099078515,483.9319937913422,300.6308530215729,397.13729778406224,297.1586953203544,788.852960097295,225.16554551989844,613.3454308820042,334.7719437780578,464.2837935652886
     India,3374.82,1118.85,918.0550000000001,1583.89,914.22,1417.74,1028.86,980.52,1765.5100000000002,2330.515,551.57,1358.6299999999997,3981.9459319755474,668.3979023248453,1687.71698011542,1610.3072284136838,1432.8859358818827,1167.007991216948,2069.3079772722303,1870.684520762846,1316.1666934918649,1737.99,2431.628573027057,2281.6756418693617,5053.114704629436,3602.2363837157172,1564.3579118995099,2065.1067015082785,3397.098314903294,4398.2133031293615,1174.5820459119873,1647.8193904543305,2350.813353718544,2110.410207369719,3645.6225137359866,3031.968918086442,1103.561249412281,1307.104216699541,2325.5002474207195,2083.865821650197,2966.1727909826936,2594.931148455399,611.2677048938127,667.8726165115904,1529.428904162385,456.7182875010353,2290.259784158924,2292.177249545445,2795.4875443054,1013.2622741005888,1021.0229477111453,1580.996557449296,1267.6075446755424,2593.0107630512016,2454.88411625388,1549.9097904282405,1093.1690541875632,1960.1006679767188,1615.3289869991133,1556.4090012366244,1028.5411653510869,1157.888220468143,1752.7185461115498,1678.60984269944,2669.1525733520625,1362.5104992090314,1738.476788818602,1595.1039023559597,972.6372829842575
     Oman,845.5999999999999,461.28000000000014,367.61580000000004,565.5500000000001,755.1,623.26,658.55,541.39,413.1700000000001,377.63,560.2600000000001,297.28000000000003,325.47987851245443,574.5639924462773,212.938008069993,885.2208481201806,709.0023343930221,646.5176506218779,780.2649160649689,717.9148190036267,587.6126264746064,429.72,448.89,613.3332111732635,432.0132998758498,391.28661605724375,501.7217839475699,658.7365060645483,490.6079497596594,464.86169090976756,460.7628642389129,379.1811316832247,250.967909605454,247.2007582359852,224.67185838426835,154.6302394602728,181.36415290860106,108.17364785949512,228.59591175689593,204.60464890717932,116.90864706518485,142.65755245815822,104.7600075437278,185.93616327059644,223.14398881395311,250.3526061652275,304.6820304761651,255.59327029931117,311.76026514463695,349.9716242381993,597.5490022882125,649.9782061807019,585.3964700412811,601.7838230244996,539.1124740567979,536.086766887582,592.4706243559965,1655.6932550356046,1274.0657368742777,927.6509484250288,1727.4627424115336,762.4102713336741,966.41522938166,701.5148995622843,813.6843082880948,1353.2323711602176,731.353142393623,683.7841285793894,767.929448818436
     Japan,545.35,487.02,513.57,443.01,387.31,579.79,545.6999999999999,549.1500000000001,567.0500000000001,634.3489999999999,626.86,617.0899999999999,528.4275145090742,489.8972375468053,411.7504605791265,570.9811753065825,512.0351898025664,535.8795295765633,455.19821529052746,458.6844935295313,417.94,400.29,472.02,1000.3121302730777,541.5606185797017,447.56073648545555,720.5564751240667,1023.33504475351,676.7180616480854,1539.0577451051095,348.2264928775933,921.9239686370602,355.2986967469068,1191.2153204006984,767.7718162302978,859.265610551648,1096.0865001594516,345.1335253385423,1073.5495598586301,1652.2138750200004,684.2996168802156,778.2759861691005,651.4048679965044,524.7269600711204,556.8321365456482,770.5896674044124,646.0127328042191,750.0782553675075,748.9171610635688,575.7964149788025,618.046241219808,735.4462573315816,343.97315590596634,393.8423934331751,432.8784418006866,328.69928908185557,355.27976567391727,692.5864015540475,334.7559626817785,427.6349126585966,385.4029121204731,289.0806567440661,1051.2782315657691,321.28854013590615,323.21594377864847,375.1047547070717,490.17802397836005,424.50887932088386,462.60272749314487
     Iraq,428.16,362.7,245.96849999999998,266.14,289.99,359.31,403.9599999999999,360.06000000000006,416.78,391.58000000000004,432.81999999999994,575.8000000000001,451.77580256315554,363.1067141401874,392.55189347645535,517.3232465644487,0.0,0.0,545.8837244313067,562.7777601885538,471.42,523.31,538.76,641.5954417920024,508.45419982471327,457.45566597665936,681.7128821257868,610.5836371097157,541.164997845646,548.4955454613644,464.72435398299797,485.82331328599537,547.6360917726698,519.1027209682849,525.4803516326423,603.971771418205,574.9849372092182,348.0315777577067,483.26189239420205,558.9278458731065,601.8545158734917,468.73789845048077,493.90337985874265,438.7135959339907,621.0743263875403,401.0734642637601,416.2075723370456,531.6756803348977,602.7650063229813,573.4075651868692,1052.3194660709785,4240.451403224276,4571.501087230581,808.3429145168835,1388.9814768956576,1231.518434303932,1322.996146404437,1007.410091418884,868.3811853309203,783.56130071468,292.824316613171,95.93500468091081,935.7986294151431,191.56409758328658,178.8412939253375,200.9753955625751,262.4043874594769,172.72883175217981,177.16923680574354
