Region/Country,Jan_20,Feb_20,Mar_20,Apr_20,May_20,Jun_20,Jul_20,Aug_20,Sep_20,Oct_20,Nov_20,Dec_20,Jan_21,Feb_21,Mar_21,Apr_21,May_21,Jun_21,Jul_21,Aug_21,Sep_21,Oct_21,Nov_21,Dec_21,Jan_22,Feb_22,Mar_22,Apr_22,May_22,Jun_22,Jul_22,Aug_22,Sep_22,Oct_22,Nov_22,Dec_22,Jan_23,Feb_23,Mar_23,Apr_23,May_23,Jun_23,Jul_23,Aug_23,Sep_23,Oct_23,Nov_23,Dec_23,Jan_24,Feb_24,Mar_24,Apr_24,May_24,Jun_24,Jul_24,Aug_24,Sep_24
     Norway,1288.54,1046.91,944.68,2441.04,1132.34,1147.85,1263.67,1367.71,1389.25,1296.85,1434.18,1833.4,1583.861105,1464.642121,1582.116036,1738.518059,1713.76119,1956.395636,2026.83959,1803.543075,1353.81,840.22,924.84,1621.220893,1687.419222,1787.006253,1897.636776,1870.586931,1798.494157,1923.77,2024.949651,1311.346268,1117.869048,1336.552978,1374.915298,1284.103491,1726.357479,1114.845711,1160.059273,839.9378024,1173.97984,2017.016009,1966.771453,1456.304427,1404.894357,1296.857005,1307.020406,1650.66337,1596.378855,1663.880738,1702.046259,1533.546229,1518.728146,1712.192377,1737.25808,1703.347485,1642.177248
     Belgium,751.02,606.74,919.1349,1016.85,390.18,485.17,620.05,815.18,999.64,1479.99,836.97,1539.19,824.4161488,743.4854756,834.6263164,1926.836499,1970.811794,960.7447811,1698.538831,1800.512072,788.1442219,771.951663,850.9889452,1137.37378,1007.084448,1299.528689,3363.096723,1728.953709,1755.038059,1139.347167,673.4602651,759.4951111,620.7454399,994.784123,1430.459401,1201.296178,1033.054057,957.6617983,1077.421161,651.0452453,715.6234266,662.0181449,998.8255044,883.3911365,780.8798872,670.5462931,1091.901508,1390.795033,1287.477595,1093.071216,1150.871894,1855.456012,2160.448155,1912.551677,2176.922273,1901.141569,3155.873471
     Austria,668.8,567.77,484.43,504.23,625.87,547.3,699.57,612.69,683.2,329.95,1176.86,1061.05,804.1945963,733.44,1505.297231,600.4336894,648.8180532,443.4629844,638.7922655,489.5515359,415.6086157,431.4904199,395.3983687,714.5938728,772.1263765,903.5646746,773.7251133,911.7160847,893.8092807,842.6151255,452.6869183,420.6675282,715.5972468,838.027247,717.5887143,1141.495392,984.8750243,993.4025503,978.7736827,857.2308749,715.4492671,768.3361511,862.4650111,688.5402553,863.8296824,700.4485975,733.0421204,752.3312816,1031.191533,972.3940084,1016.151369,768.6335506,980.9629157,1028.544473,1087.543943,1096.264095,938.8159728
     Saudia Arabia,9066.13,6972.92,8033.128,7481.21,12049.35,11599.27,11627.35,10432.04,11054.53,10898.05,10685.73,13061.52,11145.82903,9678.970373,11666.47103,12097.63546,15062.77497,15170.57507,16607.04208,16563.13906,16611.84,18419.38,19205.1,22777.35254,19894.44338,19217.54342,25638.10226,23950.90897,26435.70914,24438.49476,22601.49907,26614.93541,27115.06758,28062.43841,26664.62728,31626.94494,30391.66141,24356.24049,33937.54358,29243.42045,35043.86086,30960.58494,29745.02237,32273.09602,26878.38367,33097.90911,31905.17111,31963.5981,32034.55896,30727.06081,38595.4039,36223.25529,35468.08765,29178.15167,37388.97979,32727.6439,30011.25543
     Qatar,4585.6,3946.36,5462.67929,7581.46,9734.23,9737.69,9934.6,7526.04,7306.05,6786.33,6349.87,5967.66,5706.912515,6094.409009,5530.897395,5904.360673,6292.384374,5333.04033,5790.595871,7041.954229,6801.89,6969.56,7214.49,6487.563757,6006.334957,7085.446246,7481.496848,8074.880819,7786.621096,7454.807114,7854.742149,8083.315225,6499.3683,5455.836294,8100.838778,7079.870724,5388.926009,3989.734534,4806.261522,4451.514011,4160.317742,4626.52463,4437.142215,3886.31995,3100.163712,3150.395151,3041.129927,3049.443398,3819.620598,5643.305375,6734.538784,6347.62536,6012.976281,7541.148554,6626.681157,4982.054092,5041.033724
     United Arab Emirates,5870.36,7628.9,6660.606,5480.88,3981.04,7297.67,6066.99,6071.24,7449.22,3728.14,6471.01,6201.27,3375.780175,4534.113681,4086.866947,3850.334685,4051.284282,3756.639103,4819.495698,4151.685653,3780.08,7153.9,6061.81,7683.854848,6476.568165,4571.866954,6094.009316,6037.497124,5404.251245,5346.655484,6262.976303,3261.238098,5134.405972,4106.711292,4717.858376,4252.941872,3975.159512,5369.858408,6816.652823,6170.338326,8029.365245,3926.415279,5357.403641,4128.24905,3580.047242,6349.744871,5093.144163,6819.332035,9332.319291,10011.54949,9163.544472,7517.238839,12119.75636,14788.35499,11893.15276,13790.50177,12850.5416
     Bahrain,742.04,907.12,1192.247,800.65,1154.59,1106.82,1186.52,1262.86,969.71,486.42,865.24,753.87,616.9100935,1071.488592,662.5146011,1003.355637,954.6532473,905.9689062,1212.147719,1047.2,927.937068,916.59,2116.27,986.7795922,629.5214952,831.8960985,1406.99131,761.00426,666.9841887,707.8236003,575.0863725,588.0345894,494.6279001,459.9769093,593.4898063,165.5469607,136.9182262,157.2393614,250.1778965,128.8104992,233.2050854,108.1121412,113.8516952,171.6343566,130.4262423,130.5568051,169.7570818,307.5151309,486.0615314,897.2333271,572.8311111,364.9901597,184.0857488,904.1649981,294.9231282,378.4873959,265.8540536
     India,3374.82,1118.85,918.055,1583.89,914.22,1417.74,1028.86,980.52,1765.51,2330.515,551.57,1358.63,3981.945932,668.3979023,1687.71698,1610.307228,1432.885936,1167.007991,2069.307977,1870.684521,1316.166693,1737.99,2431.628573,2281.675642,5053.114705,3602.236384,1564.357912,2065.106702,3397.098315,4398.213303,1174.582046,1647.81939,2350.813354,2110.410207,3645.622514,3031.968918,1103.561249,1307.104217,2325.500247,2083.865822,2966.172791,2594.931148,611.2677049,667.8726165,1529.428904,456.7182875,2290.259784,2292.17725,2795.487544,1013.262274,1021.022948,1580.996557,1267.607545,2593.010763,2454.884116,1549.90979,1093.169054
     Oman,845.6,461.28,367.6158,565.55,755.1,623.26,658.55,541.39,413.17,377.63,560.26,297.28,325.4798785,574.5639924,212.9380081,885.2208481,709.0023344,646.5176506,780.2649161,717.914819,587.6126265,429.72,448.89,613.3332112,432.0132999,391.2866161,501.7217839,658.7365061,490.6079498,464.8616909,460.7628642,379.1811317,250.9679096,247.2007582,224.6718584,154.6302395,181.3641529,108.1736479,228.5959118,204.6046489,116.9086471,142.6575525,104.7600075,185.9361633,223.1439888,250.3526062,304.6820305,255.5932703,311.7602651,349.9716242,597.5490023,649.9782062,585.39647,601.783823,539.1124741,536.0867669,592.4706244
     Japan,545.35,487.02,513.57,443.01,387.31,579.79,545.7,549.15,567.05,634.349,626.86,617.09,528.4275145,489.8972375,411.7504606,570.9811753,512.0351898,535.8795296,455.1982153,458.6844935,417.94,400.29,472.02,1000.31213,541.5606186,447.5607365,720.5564751,1023.335045,676.7180616,1539.057745,348.2264929,921.9239686,355.2986967,1191.21532,767.7718162,859.2656106,1096.0865,345.1335253,1073.54956,1652.213875,684.2996169,778.2759862,651.404868,524.7269601,556.8321365,770.5896674,646.0127328,750.0782554,748.9171611,575.796415,618.0462412,735.4462573,343.9731559,393.8423934,432.8784418,328.6992891,355.2797657
     Iraq,428.16,362.7,245.9685,266.14,289.99,359.31,403.96,360.06,416.78,391.58,432.82,575.8,451.7758026,363.1067141,392.5518935,517.3232466,517.3232,545.8837,545.8837244,562.7777602,471.42,523.31,538.76,641.5954418,508.4541998,457.455666,681.7128821,610.5836371,541.1649978,548.4955455,464.724354,485.8233133,547.6360918,519.102721,525.4803516,603.9717714,574.9849372,348.0315778,483.2618924,558.9278459,601.8545159,468.7378985,493.9033799,438.7135959,621.0743264,401.0734643,416.2075723,531.6756803,602.7650063,573.4075652,1052.319466,4240.451403,4571.501087,808.3429145,1388.981477,1231.518434,1322.996146
